neighbourhood_name,neighbourhood_id,tsns_designation,total_population,low_income_percent,is_improvement_area,Reconciled_Neighbourhood
Weston-Pelham Park,91,NIA,11098,20.4,1,Weston-Pelham Park
Wexford/Maryvale,119,No Designation,27917,19.2,0,Wexford/Maryvale
Willowdale East,51,No Designation,50434,30.3,0,Willowdale East
Willowdale West,37,No Designation,16936,27.1,0,Willowdale West
Willowridge-Martingrove-Richview,7,No Designation,22156,15.0,0,Willowridge-Martingrove-Richview
Woburn,137,NIA,53485,27.2,1,Woburn
Woodbine Corridor,64,No Designation,12541,15.8,0,Woodbine Corridor
Woodbine-Lumsden,60,No Designation,7865,15.2,0,Woodbine-Lumsden
Wychwood,94,No Designation,14349,16.7,0,Wychwood
Yonge-Eglinton,100,No Designation,11817,12.0,0,Yonge-Eglinton
Yonge-St.Clair,97,No Designation,12528,12.9,0,Yonge-St.Clair
York University Heights,27,NIA,27593,24.4,1,York University Heights
Yorkdale-Glen Park,31,Emerging Neighbourhood,14804,16.8,0,Yorkdale-Glen Park
