AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
South Riverdale,70.0,228.0,27.0,129.0,150.0,3.0,45.0,7.0,149.0,22.0,760.0,South Riverdale,70.0,224.0,48.0,94.0,135.0,2.0,31.0,2.0,124.0,21.0,681.0,27815.0,-4.0,-1.7543859649122806,21.0,77.77777777777779,-35.0,-27.131782945736433,-15.0,-10.0,-1.0,-33.33333333333333,-14.0,-31.11111111111111,-5.0,-71.42857142857143,-25.0,-16.778523489932887,-1.0,-4.545454545454546,-79.0,-10.394736842105264
St Lawrence-East Bayfront-The Islands,166.0,226.0,6.0,127.0,62.0,0.0,16.0,3.0,86.0,16.0,542.0,St Lawrence-East Bayfront-The Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.Andrew-Windfields,40.0,56.0,10.0,8.0,56.0,0.0,24.0,2.0,30.0,9.0,195.0,St.Andrew-Windfields,40.0,53.0,65.0,14.0,33.0,0.0,2.0,0.0,63.0,7.0,237.0,16960.0,-3.0,-5.357142857142857,55.0,550.0,6.0,75.0,-23.0,-41.07142857142857,0.0,,-22.0,-91.66666666666666,-2.0,-100.0,33.0,110.00000000000001,-2.0,-22.22222222222222,42.0,21.53846153846154
Steeles,116.0,44.0,31.0,1.0,48.0,0.0,15.0,0.0,21.0,2.0,162.0,Steeles,116.0,49.0,45.0,0.0,17.0,0.0,7.0,1.0,27.0,2.0,148.0,22765.0,5.0,11.363636363636363,14.0,45.16129032258064,-1.0,-100.0,-31.0,-64.58333333333334,0.0,,-8.0,-53.333333333333336,1.0,inf,6.0,28.57142857142857,0.0,0.0,-14.0,-8.641975308641975
Stonegate-Queensway,16.0,78.0,14.0,11.0,49.0,0.0,13.0,0.0,50.0,4.0,219.0,Stonegate-Queensway,16.0,78.0,70.0,5.0,30.0,1.0,18.0,0.0,58.0,7.0,267.0,25650.0,0.0,0.0,56.0,400.0,-6.0,-54.54545454545454,-19.0,-38.775510204081634,1.0,inf,5.0,38.46153846153847,0.0,,8.0,16.0,3.0,75.0,48.0,21.91780821917808
Tam O'Shanter-Sullivan,118.0,100.0,21.0,3.0,62.0,0.0,25.0,2.0,43.0,8.0,264.0,Tam O'Shanter-Sullivan,118.0,119.0,59.0,7.0,15.0,0.0,11.0,5.0,58.0,5.0,279.0,27205.0,19.0,19.0,38.0,180.95238095238096,4.0,133.33333333333331,-47.0,-75.80645161290323,0.0,,-14.0,-56.00000000000001,3.0,150.0,15.0,34.883720930232556,-3.0,-37.5,15.0,5.681818181818182
Taylor-Massey,61.0,97.0,6.0,9.0,42.0,1.0,17.0,2.0,35.0,5.0,214.0,Taylor-Massey,61.0,116.0,20.0,17.0,16.0,0.0,10.0,2.0,54.0,10.0,245.0,15025.0,19.0,19.587628865979383,14.0,233.33333333333334,8.0,88.88888888888889,-26.0,-61.904761904761905,-1.0,-100.0,-7.0,-41.17647058823529,0.0,0.0,19.0,54.285714285714285,5.0,100.0,31.0,14.485981308411214
The Beaches,63.0,79.0,7.0,89.0,77.0,0.0,16.0,0.0,65.0,3.0,336.0,The Beaches,63.0,93.0,30.0,21.0,39.0,0.0,17.0,0.0,48.0,7.0,255.0,21510.0,14.0,17.72151898734177,23.0,328.57142857142856,-68.0,-76.40449438202246,-38.0,-49.35064935064935,0.0,,1.0,6.25,0.0,,-17.0,-26.153846153846157,4.0,133.33333333333331,-81.0,-24.107142857142858
Thistletown-Beaumond Heights,3.0,48.0,15.0,3.0,23.0,0.0,16.0,3.0,36.0,1.0,145.0,Thistletown-Beaumond Heights,3.0,61.0,44.0,1.0,8.0,0.0,6.0,1.0,40.0,2.0,163.0,9850.0,13.0,27.083333333333332,29.0,193.33333333333334,-2.0,-66.66666666666666,-15.0,-65.21739130434783,0.0,,-10.0,-62.5,-2.0,-66.66666666666666,4.0,11.11111111111111,1.0,100.0,18.0,12.413793103448276
Thorncliffe Park,55.0,88.0,4.0,15.0,24.0,1.0,15.0,1.0,30.0,11.0,189.0,Thorncliffe Park,55.0,118.0,16.0,17.0,35.0,0.0,14.0,3.0,35.0,0.0,238.0,20400.0,30.0,34.090909090909086,12.0,300.0,2.0,13.333333333333334,11.0,45.83333333333333,-1.0,-100.0,-1.0,-6.666666666666667,2.0,200.0,5.0,16.666666666666664,-11.0,-100.0,49.0,25.925925925925924
Trinity-Bellwoods,81.0,137.0,22.0,69.0,46.0,1.0,17.0,2.0,61.0,2.0,357.0,Trinity-Bellwoods,81.0,128.0,20.0,40.0,49.0,0.0,21.0,2.0,28.0,8.0,296.0,15415.0,-9.0,-6.569343065693431,-2.0,-9.090909090909092,-29.0,-42.028985507246375,3.0,6.521739130434782,-1.0,-100.0,4.0,23.52941176470588,0.0,0.0,-33.0,-54.09836065573771,6.0,300.0,-61.0,-17.086834733893557
University,79.0,130.0,13.0,139.0,51.0,0.0,33.0,0.0,72.0,6.0,444.0,University,79.0,95.0,9.0,62.0,32.0,0.0,10.0,1.0,21.0,5.0,235.0,6435.0,-35.0,-26.923076923076923,-4.0,-30.76923076923077,-77.0,-55.39568345323741,-19.0,-37.254901960784316,0.0,,-23.0,-69.6969696969697,1.0,inf,-51.0,-70.83333333333334,-1.0,-16.666666666666664,-209.0,-47.072072072072075
Victoria Village,43.0,123.0,20.0,1.0,22.0,2.0,12.0,6.0,33.0,4.0,223.0,Victoria Village,43.0,95.0,40.0,3.0,22.0,0.0,8.0,3.0,64.0,5.0,240.0,17365.0,-28.0,-22.76422764227642,20.0,100.0,2.0,200.0,0.0,0.0,-2.0,-100.0,-4.0,-33.33333333333333,-3.0,-50.0,31.0,93.93939393939394,1.0,25.0,17.0,7.623318385650224
,,,,,,,,,,,,Waterfront Communities-The Island,495.0,974.0,104.0,323.0,352.0,1.0,85.0,14.0,232.0,51.0,2136.0,84990.0,,,,,,,,,,,,,,,,,,,,
Wellington Place,164.0,524.0,23.0,160.0,113.0,0.0,43.0,3.0,67.0,19.0,952.0,Wellington Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hill,136.0,422.0,15.0,25.0,72.0,0.0,77.0,6.0,64.0,8.0,689.0,West Hill,136.0,328.0,75.0,18.0,70.0,0.0,43.0,5.0,141.0,4.0,684.0,28140.0,-94.0,-22.274881516587676,60.0,400.0,-7.0,-28.000000000000004,-2.0,-2.7777777777777777,0.0,,-34.0,-44.15584415584416,-1.0,-16.666666666666664,77.0,120.3125,-4.0,-50.0,-5.0,-0.7256894049346879
West Humber-Clairville,1.0,291.0,322.0,18.0,131.0,2.0,91.0,10.0,225.0,41.0,1131.0,West Humber-Clairville,1.0,242.0,498.0,12.0,98.0,1.0,53.0,5.0,378.0,54.0,1341.0,33300.0,-49.0,-16.83848797250859,176.0,54.6583850931677,-6.0,-33.33333333333333,-33.0,-25.190839694656486,-1.0,-50.0,-38.0,-41.75824175824176,-5.0,-50.0,153.0,68.0,13.0,31.70731707317073,210.0,18.56763925729443
West Queen West,162.0,117.0,5.0,63.0,42.0,1.0,7.0,3.0,47.0,6.0,291.0,West Queen West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Rouge,143.0,61.0,7.0,12.0,34.0,0.0,9.0,1.0,41.0,3.0,168.0,West Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster-Branson,35.0,110.0,24.0,15.0,19.0,0.0,10.0,2.0,44.0,7.0,231.0,Westminster-Branson,35.0,89.0,61.0,17.0,25.0,0.0,8.0,2.0,59.0,7.0,268.0,25705.0,-21.0,-19.090909090909093,37.0,154.16666666666669,2.0,13.333333333333334,6.0,31.57894736842105,0.0,,-2.0,-20.0,0.0,0.0,15.0,34.090909090909086,0.0,0.0,37.0,16.017316017316016
Weston,113.0,183.0,40.0,6.0,44.0,3.0,42.0,13.0,93.0,4.0,428.0,Weston,113.0,204.0,60.0,6.0,36.0,0.0,25.0,4.0,70.0,5.0,410.0,18675.0,21.0,11.475409836065573,20.0,50.0,0.0,0.0,-8.0,-18.181818181818183,-3.0,-100.0,-17.0,-40.476190476190474,-9.0,-69.23076923076923,-23.0,-24.731182795698924,1.0,25.0,-18.0,-4.205607476635514
Weston-Pelham Park,91.0,83.0,16.0,4.0,16.0,1.0,15.0,4.0,21.0,8.0,168.0,Weston-Pelham Park,91.0,92.0,16.0,2.0,23.0,0.0,6.0,4.0,17.0,1.0,161.0,10680.0,9.0,10.843373493975903,0.0,0.0,-2.0,-50.0,7.0,43.75,-1.0,-100.0,-9.0,-60.0,0.0,0.0,-4.0,-19.047619047619047,-7.0,-87.5,-7.0,-4.166666666666666
Wexford/Maryvale,119.0,212.0,44.0,8.0,76.0,2.0,26.0,4.0,117.0,13.0,502.0,Wexford/Maryvale,119.0,216.0,92.0,10.0,70.0,2.0,28.0,5.0,139.0,15.0,577.0,28345.0,4.0,1.8867924528301887,48.0,109.09090909090908,2.0,25.0,-6.0,-7.894736842105263,0.0,0.0,2.0,7.6923076923076925,1.0,25.0,22.0,18.803418803418804,2.0,15.384615384615385,75.0,14.940239043824702
,,,,,,,,,,,,Willowdale East,303.0,125.0,84.0,25.0,45.0,0.0,35.0,1.0,132.0,14.0,461.0,35645.0,,,,,,,,,,,,,,,,,,,,
Willowdale West,37.0,82.0,11.0,47.0,38.0,0.0,9.0,2.0,40.0,4.0,233.0,Willowdale West,190.0,130.0,62.0,39.0,33.0,0.0,34.0,0.0,91.0,14.0,403.0,30950.0,48.0,58.536585365853654,51.0,463.6363636363637,-8.0,-17.02127659574468,-5.0,-13.157894736842104,0.0,,25.0,277.77777777777777,-2.0,-100.0,51.0,127.49999999999999,10.0,250.0,170.0,72.96137339055794
Willowridge-Martingrove-Richview,7.0,101.0,51.0,2.0,35.0,0.0,62.0,2.0,53.0,4.0,310.0,Willowridge-Martingrove-Richview,7.0,58.0,58.0,6.0,22.0,2.0,6.0,3.0,54.0,3.0,212.0,22445.0,-43.0,-42.57425742574257,7.0,13.725490196078432,4.0,200.0,-13.0,-37.142857142857146,2.0,inf,-56.0,-90.32258064516128,1.0,50.0,1.0,1.8867924528301887,-1.0,-25.0,-98.0,-31.61290322580645
,,,,,,,,,,,,Woburn,283.0,364.0,107.0,6.0,55.0,2.0,33.0,20.0,139.0,13.0,739.0,53665.0,,,,,,,,,,,,,,,,,,,,
Woburn North,142.0,173.0,22.0,2.0,42.0,0.0,35.0,2.0,55.0,9.0,340.0,Woburn North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine Corridor,64.0,83.0,10.0,29.0,52.0,0.0,9.0,1.0,28.0,6.0,218.0,Woodbine Corridor,64.0,73.0,13.0,19.0,31.0,1.0,8.0,0.0,33.0,2.0,180.0,12205.0,-10.0,-12.048192771084338,3.0,30.0,-10.0,-34.48275862068966,-21.0,-40.38461538461539,1.0,inf,-1.0,-11.11111111111111,-1.0,-100.0,5.0,17.857142857142858,-4.0,-66.66666666666666,-38.0,-17.431192660550458
Woodbine-Lumsden,60.0,36.0,2.0,7.0,14.0,0.0,3.0,1.0,36.0,6.0,105.0,Woodbine-Lumsden,60.0,33.0,9.0,3.0,11.0,0.0,2.0,0.0,32.0,0.0,90.0,7915.0,-3.0,-8.333333333333332,7.0,350.0,-4.0,-57.14285714285714,-3.0,-21.428571428571427,0.0,,-1.0,-33.33333333333333,-1.0,-100.0,-4.0,-11.11111111111111,-6.0,-100.0,-15.0,-14.285714285714285
Wychwood,94.0,82.0,19.0,35.0,29.0,0.0,9.0,0.0,26.0,4.0,204.0,Wychwood,94.0,56.0,13.0,13.0,33.0,0.0,5.0,1.0,13.0,2.0,136.0,12800.0,-26.0,-31.70731707317073,-6.0,-31.57894736842105,-22.0,-62.857142857142854,4.0,13.793103448275861,0.0,,-4.0,-44.44444444444444,1.0,inf,-13.0,-50.0,-2.0,-50.0,-68.0,-33.33333333333333
Yonge-Bay Corridor,170.0,481.0,20.0,202.0,60.0,0.0,73.0,0.0,77.0,27.0,940.0,Yonge-Bay Corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonge-Doris,151.0,73.0,4.0,21.0,12.0,0.0,22.0,0.0,15.0,6.0,153.0,Yonge-Doris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonge-Eglinton,100.0,66.0,3.0,22.0,19.0,0.0,12.0,0.0,8.0,2.0,132.0,Yonge-Eglinton,100.0,64.0,28.0,14.0,31.0,0.0,4.0,0.0,22.0,2.0,165.0,12410.0,-2.0,-3.0303030303030303,25.0,833.3333333333334,-8.0,-36.36363636363637,12.0,63.1578947368421,0.0,,-8.0,-66.66666666666666,0.0,,14.0,175.0,0.0,0.0,33.0,25.0
Yonge-St.Clair,97.0,32.0,7.0,14.0,12.0,0.0,6.0,1.0,7.0,7.0,86.0,Yonge-St.Clair,97.0,51.0,13.0,12.0,30.0,0.0,5.0,0.0,23.0,3.0,137.0,12905.0,19.0,59.375,6.0,85.71428571428571,-2.0,-14.285714285714285,18.0,150.0,0.0,,-1.0,-16.666666666666664,-1.0,-100.0,16.0,228.57142857142856,-4.0,-57.14285714285714,51.0,59.30232558139535
York University Heights,27.0,364.0,109.0,25.0,99.0,2.0,71.0,5.0,138.0,38.0,851.0,York University Heights,27.0,332.0,174.0,18.0,114.0,6.0,40.0,14.0,200.0,32.0,930.0,28255.0,-32.0,-8.791208791208792,65.0,59.63302752293578,-7.0,-28.000000000000004,15.0,15.151515151515152,4.0,200.0,-31.0,-43.66197183098591,9.0,180.0,62.0,44.927536231884055,-6.0,-15.789473684210526,79.0,9.283196239717979
Yorkdale-Glen Park,31.0,175.0,41.0,11.0,66.0,1.0,24.0,1.0,63.0,26.0,408.0,Yorkdale-Glen Park,31.0,162.0,96.0,29.0,63.0,1.0,17.0,9.0,112.0,21.0,510.0,16625.0,-13.0,-7.428571428571429,55.0,134.14634146341464,18.0,163.63636363636365,-3.0,-4.545454545454546,0.0,0.0,-7.0,-29.166666666666668,8.0,800.0,49.0,77.77777777777779,-5.0,-19.230769230769234,102.0,25.0
