AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
,,,,,,,,,,,,Church-Yonge Corridor,335.0,997.0,78.0,263.0,248.0,0.0,137.0,9.0,172.0,47.0,1951.0,40020.0,,,,,,,,,,,,,,,,,,,,
Clairlea-Birchmount,120.0,241.0,47.0,8.0,87.0,1.0,44.0,0.0,109.0,18.0,555.0,Clairlea-Birchmount,120.0,231.0,49.0,12.0,57.0,1.0,9.0,2.0,140.0,14.0,515.0,26840.0,-10.0,-4.149377593360995,2.0,4.25531914893617,4.0,50.0,-30.0,-34.48275862068966,0.0,0.0,-35.0,-79.54545454545455,2.0,inf,31.0,28.440366972477065,-4.0,-22.22222222222222,-40.0,-7.207207207207207
Clanton Park,33.0,55.0,50.0,1.0,41.0,1.0,4.0,0.0,40.0,6.0,198.0,Clanton Park,33.0,94.0,90.0,12.0,36.0,1.0,13.0,0.0,74.0,7.0,327.0,17620.0,39.0,70.9090909090909,40.0,80.0,11.0,1100.0,-5.0,-12.195121951219512,0.0,0.0,9.0,225.0,0.0,,34.0,85.0,1.0,16.666666666666664,129.0,65.15151515151516
Cliffcrest,123.0,110.0,11.0,7.0,59.0,0.0,25.0,0.0,63.0,3.0,278.0,Cliffcrest,123.0,98.0,31.0,2.0,30.0,1.0,13.0,0.0,73.0,3.0,251.0,16130.0,-12.0,-10.909090909090908,20.0,181.8181818181818,-5.0,-71.42857142857143,-29.0,-49.152542372881356,1.0,inf,-12.0,-48.0,0.0,,10.0,15.873015873015872,0.0,0.0,-27.0,-9.712230215827338
Corso Italia-Davenport,92.0,71.0,8.0,9.0,15.0,0.0,30.0,1.0,27.0,2.0,163.0,Corso Italia-Davenport,92.0,119.0,24.0,12.0,31.0,0.0,1.0,0.0,23.0,4.0,214.0,13200.0,48.0,67.6056338028169,16.0,200.0,3.0,33.33333333333333,16.0,106.66666666666667,0.0,,-29.0,-96.66666666666667,-1.0,-100.0,-4.0,-14.814814814814813,2.0,100.0,51.0,31.28834355828221
Danforth,66.0,76.0,6.0,28.0,41.0,1.0,21.0,1.0,20.0,4.0,198.0,Danforth,66.0,92.0,22.0,66.0,51.0,0.0,12.0,0.0,51.0,5.0,299.0,9305.0,16.0,21.052631578947366,16.0,266.66666666666663,38.0,135.71428571428572,10.0,24.390243902439025,-1.0,-100.0,-9.0,-42.857142857142854,-1.0,-100.0,31.0,155.0,1.0,25.0,101.0,51.010101010101
Danforth East York,59.0,41.0,12.0,20.0,42.0,0.0,5.0,0.0,43.0,4.0,167.0,Danforth East York,59.0,58.0,16.0,22.0,23.0,0.0,5.0,1.0,58.0,4.0,187.0,17065.0,17.0,41.46341463414634,4.0,33.33333333333333,2.0,10.0,-19.0,-45.23809523809524,0.0,,0.0,0.0,1.0,inf,15.0,34.883720930232556,0.0,0.0,20.0,11.976047904191617
Don Valley Village,47.0,137.0,27.0,2.0,66.0,0.0,26.0,1.0,65.0,8.0,332.0,Don Valley Village,47.0,125.0,34.0,17.0,31.0,0.0,17.0,2.0,63.0,11.0,300.0,26775.0,-12.0,-8.75912408759124,7.0,25.925925925925924,15.0,750.0,-35.0,-53.03030303030303,0.0,,-9.0,-34.61538461538461,1.0,100.0,-2.0,-3.076923076923077,3.0,37.5,-32.0,-9.63855421686747
Dorset Park,126.0,196.0,44.0,3.0,71.0,0.0,58.0,10.0,67.0,12.0,461.0,Dorset Park,126.0,141.0,49.0,8.0,38.0,3.0,17.0,6.0,92.0,4.0,358.0,24305.0,-55.0,-28.061224489795915,5.0,11.363636363636363,5.0,166.66666666666669,-33.0,-46.478873239436616,3.0,inf,-41.0,-70.6896551724138,-4.0,-40.0,25.0,37.3134328358209,-8.0,-66.66666666666666,-103.0,-22.342733188720175
Dovercourt Village,172.0,92.0,18.0,55.0,38.0,0.0,16.0,2.0,51.0,5.0,277.0,Dovercourt Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Dovercourt-Wallace Emerson-Junction,343.0,297.0,44.0,63.0,95.0,0.0,33.0,6.0,71.0,10.0,619.0,35560.0,,,,,,,,,,,,,,,,,,,,
Downsview,155.0,128.0,38.0,9.0,28.0,0.0,13.0,2.0,61.0,3.0,282.0,Downsview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Downsview-Roding-CFB,309.0,430.0,176.0,15.0,91.0,0.0,40.0,9.0,169.0,23.0,953.0,39390.0,,,,,,,,,,,,,,,,,,,,
Downtown Yonge East,168.0,346.0,16.0,115.0,85.0,1.0,100.0,3.0,141.0,30.0,837.0,Downtown Yonge East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dufferin Grove,83.0,83.0,7.0,42.0,26.0,1.0,18.0,1.0,38.0,3.0,219.0,Dufferin Grove,83.0,79.0,20.0,28.0,29.0,0.0,4.0,1.0,23.0,3.0,187.0,11215.0,-4.0,-4.819277108433735,13.0,185.71428571428572,-14.0,-33.33333333333333,3.0,11.538461538461538,-1.0,-100.0,-14.0,-77.77777777777779,0.0,0.0,-15.0,-39.473684210526315,0.0,0.0,-32.0,-14.61187214611872
East End-Danforth,62.0,172.0,23.0,51.0,77.0,0.0,42.0,2.0,78.0,11.0,456.0,East End-Danforth,62.0,184.0,39.0,42.0,67.0,2.0,28.0,2.0,83.0,8.0,455.0,21840.0,12.0,6.976744186046512,16.0,69.56521739130434,-9.0,-17.647058823529413,-10.0,-12.987012987012985,2.0,inf,-14.0,-33.33333333333333,0.0,0.0,5.0,6.41025641025641,-3.0,-27.27272727272727,-1.0,-0.21929824561403508
East L'Amoreaux,148.0,82.0,13.0,2.0,20.0,1.0,17.0,2.0,28.0,2.0,167.0,East L'Amoreaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Willowdale,152.0,56.0,32.0,14.0,54.0,0.0,14.0,0.0,35.0,3.0,208.0,East Willowdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenbridge-Humber Valley,9.0,29.0,28.0,5.0,46.0,0.0,5.0,2.0,47.0,2.0,164.0,Edenbridge-Humber Valley,9.0,35.0,30.0,6.0,16.0,0.0,1.0,2.0,24.0,2.0,116.0,15190.0,6.0,20.689655172413794,2.0,7.142857142857142,1.0,20.0,-30.0,-65.21739130434783,0.0,,-4.0,-80.0,0.0,0.0,-23.0,-48.93617021276596,0.0,0.0,-48.0,-29.268292682926827
Eglinton East,138.0,208.0,21.0,2.0,65.0,0.0,46.0,3.0,42.0,6.0,393.0,Eglinton East,138.0,162.0,42.0,2.0,30.0,3.0,17.0,8.0,50.0,1.0,315.0,22535.0,-46.0,-22.115384615384613,21.0,100.0,0.0,0.0,-35.0,-53.84615384615385,3.0,inf,-29.0,-63.04347826086957,5.0,166.66666666666669,8.0,19.047619047619047,-5.0,-83.33333333333334,-78.0,-19.84732824427481
Elms-Old Rexdale,5.0,69.0,16.0,2.0,10.0,0.0,21.0,4.0,24.0,0.0,146.0,Elms-Old Rexdale,5.0,69.0,51.0,0.0,10.0,0.0,7.0,7.0,18.0,3.0,165.0,9355.0,0.0,0.0,35.0,218.75,-2.0,-100.0,0.0,0.0,0.0,,-14.0,-66.66666666666666,3.0,75.0,-6.0,-25.0,3.0,inf,19.0,13.013698630136986
