AREA_NAME,HOOD_ID,ASSAULT_2020,ASSAULT_RATE_2020,AUTOTHEFT_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_2020,BIKETHEFT_RATE_2020,BREAKENTER_2020,BREAKENTER_RATE_2020,HOMICIDE_2020,ASSAULT_2020,HOMICIDE_RATE_2020,ROBBERY_2020,ROBBERY_RATE_2020,SHOOTING_2020,SHOOTING_RATE_2020,THEFTFROMMV_2020,THEFTFROMMV_RATE_2020,THEFTOVER_2020,THEFTOVER_RATE_2020,TOTAL_CRIME_COUNT
Woodbine-Lumsden,60,31,378.6,4,48.85,7,85.49,12,146.56,0,31,0.0,6,73.28,0,0.0,38,464.09,1,12.21,130
Danforth East York,59,57,322.89,16,90.64,21,118.96,33,186.94,1,57,5.66,9,50.98,0,0.0,59,334.22,5,28.32,258
Old East York,58,30,317.33,8,84.62,8,84.62,15,158.66,0,30,0.0,5,52.89,1,10.58,28,296.17,4,42.31,129
Runnymede-Bloor West Village,89,32,303.32,17,161.14,8,75.83,29,274.88,0,32,0.0,7,66.35,0,0.0,15,142.18,3,28.44,143
High Park North,88,91,394.85,18,78.1,58,251.66,32,138.85,0,91,0.0,18,78.1,0,0.0,46,199.59,4,17.36,358
High Park-Swansea,87,77,321.56,41,171.22,20,83.52,50,208.8,0,77,0.0,10,41.76,2,8.35,50,208.8,8,33.41,335
Roncesvalles,86,121,788.99,16,104.33,47,306.47,67,436.88,0,121,0.0,24,156.49,2,13.04,52,339.07,4,26.08,454
South Parkdale,85,240,1058.34,16,70.56,48,211.67,89,392.47,0,240,0.0,16,70.56,3,13.23,40,176.39,13,57.33,705
Little Portugal,84,80,486.23,26,158.03,74,449.77,54,328.21,0,80,0.0,9,54.7,0,0.0,42,255.27,6,36.47,371
Dufferin Grove,83,78,655.85,16,134.53,36,302.7,56,470.87,1,78,8.41,19,159.76,3,25.22,41,344.74,4,33.63,332
Trinity-Bellwoods,81,107,646.02,14,84.53,80,483.0,86,519.23,1,107,6.04,21,126.79,2,12.08,31,187.16,8,48.3,457
Don Valley Village,47,98,350.6,35,125.21,6,21.47,30,107.33,2,98,7.16,23,82.28,0,0.0,55,196.77,6,21.47,353
Pleasant View,46,41,258.53,29,182.86,6,37.83,19,119.81,0,41,0.0,10,63.06,1,6.31,47,296.36,6,37.83,200
Flemingdon Park,44,132,568.4,17,73.2,4,17.22,12,51.67,0,132,0.0,5,21.53,14,60.29,28,120.57,3,12.92,347
Victoria Village,43,114,627.58,17,93.59,1,5.51,34,187.17,0,114,0.0,11,60.56,7,38.54,40,220.2,5,27.53,343
Banbury-Don Mills,42,78,275.54,51,180.16,6,21.2,41,144.84,0,78,0.0,7,24.73,1,3.53,50,176.63,7,24.73,319
Bridle Path-Sunnybrook-York Mills,41,46,459.45,15,149.82,11,109.87,30,299.64,0,46,0.0,6,59.93,3,29.96,39,389.53,6,59.93,202
