Neighbourhood Name                   , Neighbourhood Number, TSNS 2020 Designation                                         , Total_Population, Population_0_14, Population_15_64, Population_65_plus, Average_Age, Median_Age, Median_Income_2020, Average_Income_2020, Median_After_Tax_Income_2020, Average_After_Tax_Income_2020, Youth_Ratio, Working_Age_Ratio, Senior_Ratio
Englemount-Lawrence                  ,                   32, Emerging Neighbourhood                                        ,            21285,            4310,            13380,               3605,        39.2,       38.4,              37200,               63450,                        34400,                         50960,        20.2,              62.9,         16.9
Clanton Park                         ,                   33, Not an NIA or Emerging Neighbourhood                          ,            17620,            2845,            12230,               2545,        39.7,       38.8,              42000,               62750,                        38000,                         50080,        16.1,              69.4,         14.4
Bathurst Manor                       ,                   34, Not an NIA or Emerging Neighbourhood                          ,            15955,            2275,            10855,               2820,        42.3,       42.4,              37600,               54400,                        34800,                         42560,        14.3,              68.0,         17.7
Westminster-Branson                  ,                   35, Emerging Neighbourhood                                        ,            25705,            3385,            17015,               5310,        43.8,       44.0,              33600,               43360,                        31200,                         37600,        13.2,              66.2,         20.7
Newtonbrook West                     ,                   36, Not an NIA or Emerging Neighbourhood                          ,            23805,            2605,            16895,               4305,        43.1,       42.0,              32800,               43440,                        30600,                         37200,        10.9,              71.0,         18.1
Willowdale West                      ,                   37, Not an NIA or Emerging Neighbourhood                          ,            17160,            1770,            11960,               3435,        43.2,       40.0,              37600,               56900,                        34800,                         46040,        10.3,              69.7,         20.0
Lansing-Westgate                     ,                   38, Not an NIA or Emerging Neighbourhood                          ,            15910,            2325,            11155,               2435,        40.5,       39.6,              45200,               77300,                        40000,                         58350,        14.6,              70.1,         15.3
Bedford Park-Nortown                 ,                   39, Not an NIA or Emerging Neighbourhood                          ,            22145,            3985,            13770,               4385,        42.1,       44.0,              54000,              127100,                        47200,                         87200,        18.0,              62.2,         19.8
St.Andrew-Windfields                 ,                   40, Not an NIA or Emerging Neighbourhood                          ,            16960,            2430,            10955,               3575,        43.6,       45.2,              46400,              102300,                        41200,                         73100,        14.3,              64.6,         21.1
Bridle Path-Sunnybrook-York Mills    ,                   41, Not an NIA or Emerging Neighbourhood                          ,             8940,            1315,             5435,               2185,        45.1,       49.2,              72000,              237600,                        60000,                        141200,        14.7,              60.8,         24.4
Banbury-Don Mills                    ,                   42, Not an NIA or Emerging Neighbourhood                          ,            27155,            3470,            16760,               6925,        46.7,       48.4,              46400,               77800,                        41600,                         59000,        12.8,              61.7,         25.5
Victoria Village                     ,                   43, Neighbourhood Improvement Area                                ,            17365,            2710,            11300,               3355,        42.4,       42.4,              34000,               44280,                        32000,                         38240,        15.6,              65.1,         19.3
Flemingdon Park                      ,                   44, Neighbourhood Improvement Area                                ,            22530,            4155,            15135,               3240,        38.2,       36.0,              30400,               38040,                        28800,                         33720,        18.4,              67.2,         14.4
Pleasant View                        ,                   46, Not an NIA or Emerging Neighbourhood                          ,            15220,            1810,            10060,               3350,        44.6,       45.2,              34400,               45400,                        32000,                         38960,        11.9,              66.1,         22.0
Don Valley Village                   ,                   47, Not an NIA or Emerging Neighbourhood                          ,            26775,            3825,            17995,               4950,        42.0,       41.2,              34800,               46280,                        32400,                         39760,        14.3,              67.2,         18.5
Hillcrest Village                    ,                   48, Not an NIA or Emerging Neighbourhood                          ,            16345,            1940,             9700,               4695,        47.5,       49.6,              34400,               49280,                        31800,                         41000,        11.9,              59.3,         28.7
Bayview Woods-Steeles                ,                   49, Not an NIA or Emerging Neighbourhood                          ,            12085,            1315,             7350,               3425,        47.5,       50.0,              38000,               56350,                        34400,                         46120,        10.9,              60.8,         28.3
Newtonbrook East                     ,                   50, Not an NIA or Emerging Neighbourhood                          ,            15345,            1570,            10655,               3120,        43.9,       42.4,              34000,               52150,                        31800,                         42920,        10.2,              69.4,         20.3
Bayview Village                      ,                   52, Not an NIA or Emerging Neighbourhood                          ,            22330,            2390,            15955,               3980,        42.2,       39.2,              43200,               59350,                        38800,                         46960,        10.7,              71.5,         17.8
Henry Farm                           ,                   53, Not an NIA or Emerging Neighbourhood                          ,            19840,            2870,            15110,               1860,        35.7,       32.8,              38400,               49360,                        35600,                         41680,        14.5,              76.2,          9.4
O`Connor Parkview                    ,                   54, Not an NIA or Emerging Neighbourhood                          ,            18405,            2905,            12410,               3090,        41.5,       42.0,              37600,               53550,                        34800,                         44640,        15.8,              67.4,         16.8
Thorncliffe Park                     ,                   55, Neighbourhood Improvement Area                                ,            20400,            4975,            13125,               2300,        35.1,       34.0,              29400,               37680,                        28200,                         33640,        24.4,              64.3,         11.3
Leaside-Bennington                   ,                   56, Not an NIA or Emerging Neighbourhood                          ,            16535,            2905,            10870,               2760,        41.6,       44.4,              64000,              141600,                        54400,                         95000,        17.6,              65.7,         16.7
Broadview North                      ,                   57, Not an NIA or Emerging Neighbourhood                          ,            10955,            1465,             7615,               1880,        42.6,       42.4,              38800,               54050,                        35600,                         44520,        13.4,              69.5,         17.2
Old East York                        ,                   58, Not an NIA or Emerging Neighbourhood                          ,             9160,            1420,             6070,               1670,        43.0,       44.0,              44400,               63800,                        40000,                         51750,        15.5,              66.3,         18.2
Danforth-East York                   ,                   59, Not an NIA or Emerging Neighbourhood                          ,            17065,            3070,            11155,               2840,        41.2,       42.0,              46400,               67200,                        41200,                         53950,        18.0,              65.4,         16.6
Woodbine-Lumsden                     ,                   60, Not an NIA or Emerging Neighbourhood                          ,             7915,            1290,             5345,               1275,        41.5,       41.6,              46400,               61550,                        41200,                         50520,        16.3,              67.5,         16.1
Taylor Massey                        ,                   61, Neighbourhood Improvement Area                                ,            15025,            2680,            10600,               1740,        37.8,       37.2,              32400,               40720,                        30800,                         35960,        17.8,              70.5,         11.6
East End Danforth                    ,                   62, Not an NIA or Emerging Neighbourhood                          ,            21840,            3735,            15120,               2985,        40.1,       40.8,              46000,               66800,                        41200,                         53050,        17.1,              69.2,         13.7
The Beaches                          ,                   63, Not an NIA or Emerging Neighbourhood                          ,            21510,            3660,            14165,               3685,        42.0,       43.6,              61200,              108800,                        52000,                         76400,        17.0,              65.9,         17.1
Woodbine Corridor                    ,                   64, Not an NIA or Emerging Neighbourhood                          ,            12205,            2315,             8390,               1500,        39.3,       40.8,              50000,               72100,                        44800,                         56500,        19.0,              68.7,         12.3
Greenwood-Coxwell                    ,                   65, Not an NIA or Emerging Neighbourhood                          ,            14120,            2550,             9695,               1875,        39.3,       38.8,              44800,               64200,                        40000,                         51450,        18.1,              68.7,         13.3
Danforth                             ,                   66, Not an NIA or Emerging Neighbourhood                          ,             9305,            1535,             6115,               1655,        41.8,       41.6,              46400,               71600,                        40800,                         56300,        16.5,              65.7,         17.8
Playter Estates-Danforth             ,                   67, Not an NIA or Emerging Neighbourhood                          ,             7680,            1090,             5100,               1490,        43.2,       42.8,              49200,               83900,                        42400,                         62450,        14.2,              66.4,         19.4
North Riverdale                      ,                   68, Not an NIA or Emerging Neighbourhood                          ,            11290,            1790,             7565,               1935,        42.1,       43.2,              54400,               92800,                        46800,                         68400,        15.9,              67.0,         17.1
